,gene_ids-0
RP24-187B13.3,ENSMUSG00000103531.1
Lonrf2,ENSMUSG00000048814.6
Chst10,ENSMUSG00000026080.9
RP23-101P2.3,ENSMUSG00000103647.1
RP23-101P2.5,ENSMUSG00000102447.1
Nms,ENSMUSG00000067604.4
Pdcl3,ENSMUSG00000026078.6
RP23-101P2.6,ENSMUSG00000103046.1
RP24-226L19.1,ENSMUSG00000104188.1
RP24-226L19.2,ENSMUSG00000103182.1
Mir6349,ENSMUSG00000098833.1
Npas2,ENSMUSG00000026077.11
Gm20428,ENSMUSG00000092553.1
Gm3617,ENSMUSG00000092563.1
Rpl31,ENSMUSG00000073702.7
Tbc1d8,ENSMUSG00000003134.6
RP24-539E18.5,ENSMUSG00000102607.1
Gm24826,ENSMUSG00000065629.2
Cnot11,ENSMUSG00000003135.11
Gm15832,ENSMUSG00000085894.1
Snord89,ENSMUSG00000077704.1
Rnf149,ENSMUSG00000048234.9
Gm23722,ENSMUSG00000064936.1
RP24-505E24.2,ENSMUSG00000102471.1
Creg2,ENSMUSG00000050967.5
D930019O06Rik,ENSMUSG00000097083.1
Rfx8,ENSMUSG00000057173.8
Gm3646,ENSMUSG00000091937.3
1700066B17Rik,ENSMUSG00000101634.2
Map4k4,ENSMUSG00000026074.10
RP24-127D13.5,ENSMUSG00000102985.1
Il1r2,ENSMUSG00000026073.9
Gm16894,ENSMUSG00000097899.2
RP24-127D13.2,ENSMUSG00000102975.1
RP24-317P24.2,ENSMUSG00000101749.2
Il1r1,ENSMUSG00000026072.8
RP24-317P24.1,ENSMUSG00000103560.1
Il1rl2,ENSMUSG00000070942.4
RP23-100P14.3,ENSMUSG00000103230.1
Il1rl1,ENSMUSG00000026069.11
Il18r1,ENSMUSG00000026070.11
Il18rap,ENSMUSG00000026068.7
RP23-346B12.3,ENSMUSG00000104441.1
Slc9a4,ENSMUSG00000026065.8
RP23-346B12.4,ENSMUSG00000102676.1
Slc9a2,ENSMUSG00000026062.8
RP23-413K6.3,ENSMUSG00000103679.1
RP23-413K6.4,ENSMUSG00000103270.1
Mfsd9,ENSMUSG00000041945.8
Tmem182,ENSMUSG00000079588.3
Gm5973,ENSMUSG00000094136.2
RP24-532K6.1,ENSMUSG00000104072.1
Gm28634,ENSMUSG00000100185.1
Gm29260,ENSMUSG00000100832.1
Gm5267,ENSMUSG00000100178.1
Gm8176,ENSMUSG00000101877.1
Gm9915,ENSMUSG00000053640.2
Gm29664,ENSMUSG00000101919.1
Gm28175,ENSMUSG00000101299.1
Gm28140,ENSMUSG00000100180.1
RP23-480H8.1,ENSMUSG00000103106.1
Pantr1,ENSMUSG00000060424.10
RP23-71K9.3,ENSMUSG00000104199.1
Gm20646,ENSMUSG00000093436.2
Pou3f3,ENSMUSG00000045515.3
Pantr2,ENSMUSG00000097063.3
Gm28525,ENSMUSG00000099784.1
Mrps9,ENSMUSG00000060679.10
Gm23126,ENSMUSG00000077448.1
Gpr45,ENSMUSG00000041907.9
Gm24001,ENSMUSG00000089088.1
Tgfbrap1,ENSMUSG00000070939.5
Gm28782,ENSMUSG00000100269.1
8430432A02Rik,ENSMUSG00000041878.3
